month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage
1,2022,Camp Washington,31,13,0,18,246.02,485.19,1151,479,106,59,17,4.1,0.219206681,0.888968813,1.78,1,107043,438876.3,42454.125,0.096733692,1778.4,0.016613884,1.00231639
1,2022,Carthage,31,13,0,18,246.02,485.19,2759,1055,821,527,173,4.1,0.232227488,0.783555874,2.61,1,256587,1052006.7,99059.625,0.094162542,16380,0.063837996,0.941556413
1,2022,Clifton,31,13,0,18,246.02,485.19,8311,4192,1066,556,124,4.1,0.070849237,0.872889824,1.977352666,0.4,772923,3168984.3,120084.525,0.037893695,6364.8,0.008234714,0.919018233
1,2022,College Hill,31,13,0,18,246.02,485.19,16578,7214,3674,1973,744,4.1,0.174383144,0.81169804,2.262897641,1,1541754,6321191.4,508640.85,0.080465978,63577.8,0.041237318,0.933401337
1,2022,Columbia Tusculum,31,13,0,18,246.02,485.19,1527.30948,742.2632691,232.6062847,103.0113546,34.47557433,4.1,0.040850588,0.969597306,2.05,0.13,142039.7816,582363.1046,12259.89845,0.021051983,418.2352379,0.002944494,0.993593783
1,2022,Corryville,31,13,0,18,246.02,485.19,4593,1944,313,99,2,4.1,0.036522634,0.654416473,2.308411145,1,427149,1751310.9,28707.075,0.016391764,2363.4,0.005532964,0.676341201
1,2022,CUF,31,13,0,18,246.02,485.19,17703,5839,590,332,135,4.1,0.047097106,0.778482266,2.260336397,1,1646379,6750153.9,111189.375,0.016472124,10927.8,0.006637475,0.801591866
1,2022,Downtown,31,13,0,18,246.02,485.19,5257.262028,3281.935603,263.9726129,50.43523316,0,4.1,0.057514217,0.93358807,1.474933886,1,488925.3686,2004594.011,76319.56099,0.038072328,1180.184456,0.002413834,0.974074231
1,2022,East End,31,13,0,18,246.02,485.19,1430,707,161,88,24,4.1,0.101838755,0.944726758,2,1,132990,545259,29111.4,0.05339004,2620.8,0.019706745,1.017823543
1,2022,East Price Hill,31,13,0,18,246.02,485.19,15908,6082,5021,2667,762,4.1,0.29118711,0.723129086,2.611281774,1,1479444,6065720.4,716059.575,0.118050211,80238.6,0.054235645,0.895414942
1,2022,East Walnut Hills,31,13,0,18,246.02,485.19,4012.088046,2493.270566,399.2056555,215.1201799,60.33868895,4.1,0.035380584,0.913265016,1.603667093,1,373124.1883,1529809.172,35666.86986,0.023314588,6445.737532,0.017275046,0.95385465
1,2022,East Westwood,31,13,0,18,246.02,485.19,2434.307438,1059.651077,735.5904287,462.9622519,116.2436471,4.1,0.373495044,0.696477431,2.276188574,1,226390.5917,928201.426,160021.4944,0.172399535,13553.41804,0.059867409,0.928744374
1,2022,English Woods,31,13,0,18,246.02,485.19,489.8377088,235.3031026,125.1178998,51.58568019,21.94653938,4.1,0.273076923,0.710655115,2.05,1,45554.90692,186775.1184,25980.24544,0.139099071,1720.653938,0.03777099,0.887525176
1,2022,Evanston,31,13,0,18,246.02,485.19,8354.011328,3434.786071,1417.954873,731.6112308,313.4879268,4.1,0.112565559,0.869583815,2.133520639,0.36,776923.0535,3185384.519,156327.6572,0.049076542,8803.915303,0.011331773,0.92999213
1,2022,Hartwell,31,13,0,18,246.02,485.19,5237,2448,965,379,237,4.1,0.100081699,0.917389358,2.04,1,487041,1996868.1,99059.625,0.049607495,14414.4,0.029595866,0.996592719
1,2022,Hyde Park,31,13,0,18,246.02,485.19,13530,6580,2465,1297,355,4.1,0.013981763,0.94137498,2.039088857,0.65,1258290,5158989,37197.9,0.007210308,25126.92,0.019969101,0.968554389
1,2022,Kennedy Heights,31,13,0,18,246.02,485.19,4714,2372,795,352,69,4.1,0.1306914,0.828223603,1.98,1,438402,1797448.2,125340.75,0.069732608,9851.4,0.022471157,0.920427367
1,2022,Linwood,31,13,0,18,246.02,485.19,667.0448904,324.1798257,101.5896488,44.98970161,15.05703723,4.1,0.040850588,0.969597306,2.05,1,62035.17481,254344.2167,5354.450244,0.021051983,1405.093689,0.022649951,1.013299241
1,2022,Lower Price Hill,31,13,0,18,246.02,485.19,877.7270916,288.0278884,288.0278884,91.71414343,47.75199203,4.1,0.621052632,0.517487295,2.37,1,81628.61952,334677.34,72325.8493,0.216106203,3263.50757,0.039979943,0.773573441
1,2022,Madisonville,31,13,0,18,246.02,485.19,10685.46577,5292.751964,1716.369809,732.0976431,342.6060606,4.1,0.099709447,0.845874785,2.041209633,1,993748.3165,4074368.098,213377.4136,0.052370677,25148.06667,0.025306273,0.923551735
1,2022,Millvale,31,13,0,18,246.02,485.19,2341.34548,890.4344779,1023.773651,662.1758935,74.57953749,4.1,0.602368866,0.476951667,2.62,1,217745.1296,892755.0315,216867.8031,0.242919721,17240.07708,0.079175489,0.799046877
1,2022,Mt. Adams,31,13,0,18,246.02,485.19,1643,977,114,80,16,4.1,0,0.941869806,1.68,0.13,152799,626475.9,0,0,292.032,0.001911217,0.943781022
1,2022,Mt. Airy,31,13,0,18,246.02,485.19,8913.806968,3893.991994,2475.059451,1374.247739,386.149444,4.1,0.250267048,0.711869148,2.277665922,1,828984.048,3398834.597,394030.0283,0.115930922,41193.29408,0.049691299,0.877491369
